k,inertia,silhouette
2,62098.951625711976,0.17628936930100195
3,55204.06746157634,0.1830549765011547
4,49045.31454218278,0.18803039765650129
5,45290.991694513075,0.16163915905775655
6,42972.17594216133,0.16521646971857407
7,40896.80390929342,0.1401939705408491
8,38897.49181507394,0.1456768035677057
